relationship_id,source_id,target_id,relationship_type
R_000015,201000208,710000000,801000004
R_000016,201000208,630000000,801000005
R_000017,201000209,710000000,801000004
R_000018,201000209,630000000,801000005
R_000019,201000210,720000000,801000004
R_000020,201000210,640000000,801000005
R_000001,201000211,720000000,801000004
R_000002,201000211,640000000,801000005
R_000003,201000212,720000000,801000004
R_000004,201000212,630000000,801000005
R_000005,201000213,720000000,801000004
R_000006,201000213,630000000,801000005
R_000007,201000214,720000000,801000004
R_000008,201000214,620000000,801000005
R_000009,201000215,720000000,801000004
R_000010,201000215,630000000,801000005
R_000011,201000216,630000000,801000005
R_000012,201000217,620000000,801000005
R_000013,201000218,610000000,801000005
R_000014,201000219,710000000,801000004
R_000015,201000219,630000000,801000005
R_000016,201000220,710000000,801000004
R_000017,201000220,610000000,801000005
R_000001,201000221,620000000,801000005
R_000002,201000222,710000000,801000004
R_000003,201000222,620000000,801000005
R_000004,201000223,710000000,801000004
R_000005,201000223,620000000,801000005
R_000006,201000224,620000000,801000005
R_000007,201000225,620000000,801000005
R_000008,201000226,710000000,801000004
R_000009,201000226,620000000,801000005
R_000010,201000227,710000000,801000004
R_000011,201000227,650000000,801000005
R_000012,201000228,710000000,801000004
R_000013,201000228,620000000,801000005
R_000014,201000229,710000000,801000004
R_000015,201000229,630000000,801000005
R_000016,201000230,610000000,801000005
R_000001,201000231,620000000,801000005
R_000002,201000232,710000000,801000004
R_000003,201000232,620000000,801000005
R_000004,201000233,610000000,801000005
R_000005,201000234,710000000,801000004
R_000006,201000234,610000000,801000005
R_000007,201000235,710000000,801000004
R_000008,201000235,620000000,801000005
R_000009,201000236,720000000,801000004
R_000010,201000236,610000000,801000005
R_000011,201000237,710000000,801000004
R_000012,201000237,630000000,801000005
R_000013,201000238,710000000,801000004
R_000014,201000238,630000000,801000005
R_000015,201000239,640000000,801000005
R_000016,201000240,620000000,801000005
R_000001,201000241,620000000,801000005
R_000002,201000242,630000000,801000005
R_000003,201000243,620000000,801000005
R_000004,201000244,620000000,801000005
R_000005,201000245,610000000,801000005
R_000006,201000246,630000000,801000005
R_000007,201000247,620000000,801000005
R_000008,201000248,620000000,801000005
R_000009,201000249,620000000,801000005
R_000010,201000250,620000000,801000005
R_000001,201000251,710000000,801000004
R_000002,201000251,620000000,801000005
R_000003,201000252,630000000,801000005
R_000004,201000253,710000000,801000004
R_000005,201000253,620000000,801000005
R_000006,201000254,710000000,801000004
R_000007,201000254,630000000,801000005
R_000008,201000255,610000000,801000005
R_000009,201000256,710000000,801000004
R_000010,201000256,620000000,801000005
R_000011,201000257,610000000,801000005
R_000012,201000258,710000000,801000004
R_000013,201000258,620000000,801000005
R_000014,201000259,620000000,801000005
R_000015,201000260,710000000,801000004
R_000016,201000260,620000000,801000005
R_000001,201000261,620000000,801000005
R_000002,201000262,620000000,801000005
R_000003,201000263,640000000,801000005
R_000004,201000264,610000000,801000005
R_000005,201000265,710000000,801000004
R_000006,201000265,620000000,801000005
R_000007,201000266,620000000,801000005
R_000008,201000267,620000000,801000005
R_000009,201000268,620000000,801000005
R_000010,201000269,630000000,801000005
R_000011,201000270,630000000,801000005
R_000001,201000271,630000000,801000005
R_000002,201000272,710000000,801000004
R_000003,201000272,630000000,801000005
R_000004,201000273,620000000,801000005
R_000005,201000274,630000000,801000005
R_000006,201000275,620000000,801000005
R_000007,201000276,620000000,801000005
R_000008,201000277,720000000,801000004
R_000009,201000277,630000000,801000005
R_000010,201000278,710000000,801000004
R_000011,201000278,620000000,801000005
R_000012,201000279,620000000,801000005
R_000013,201000280,710000000,801000004
R_000014,201000280,630000000,801000005
R_000001,201000281,710000000,801000004
R_000002,201000281,620000000,801000005
R_000003,201000282,710000000,801000004
R_000004,201000282,620000000,801000005
R_000005,201000283,630000000,801000005
R_000006,201000284,630000000,801000005
R_000007,201000285,620000000,801000005
R_000008,201000286,630000000,801000005
R_000009,201000287,630000000,801000005
R_000010,201000288,710000000,801000004
R_000011,201000288,620000000,801000005
R_000012,201000289,630000000,801000005
R_000013,201000290,620000000,801000005
R_000001,201000291,630000000,801000005
R_000002,201000292,710000000,801000004
R_000003,201000292,610000000,801000005
R_000004,201000293,620000000,801000005
R_000005,201000294,620000000,801000005
R_000006,201000295,630000000,801000005
R_000007,201000296,630000000,801000005
R_000008,201000297,710000000,801000004
R_000009,201000297,620000000,801000005
R_000010,201000298,620000000,801000005
R_000011,201000299,710000000,801000004
R_000012,201000299,620000000,801000005
R_000013,201000300,630000000,801000005
R_000001,201000301,710000000,801000004
R_000002,201000301,630000000,801000005
R_000003,201000302,620000000,801000005
R_000004,201000303,710000000,801000004
R_000005,201000303,620000000,801000005
R_000006,201000304,710000000,801000004
R_000007,201000304,620000000,801000005
R_000008,201000305,640000000,801000005
R_000009,201000306,610000000,801000005
R_000010,201000307,640000000,801000005
R_000011,201000308,620000000,801000005
R_000012,201000309,620000000,801000005
R_000013,201000310,640000000,801000005
R_000001,201000311,710000000,801000004
R_000002,201000311,630000000,801000005
R_000003,201000312,710000000,801000004
R_000004,201000312,630000000,801000005
R_000005,201000313,640000000,801000005
R_000006,201000314,630000000,801000005
R_000007,201000315,640000000,801000005
R_000008,201000316,640000000,801000005
R_000009,201000317,630000000,801000005
R_000010,201000318,630000000,801000005
R_000011,201000319,610000000,801000005
R_000012,201000320,720000000,801000004
R_000013,201000320,630000000,801000005
R_000001,201000321,640000000,801000005
R_000002,201000322,710000000,801000004
R_000003,201000322,630000000,801000005
